image,folio,side,scribe,mixed,source
KB129A10__000.jpg,001,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__001.jpg,001,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__002.jpg,002,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__003.jpg,002,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__004.jpg,003,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__005.jpg,003,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__006.jpg,004,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__007.jpg,004,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__008.jpg,005,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__009.jpg,005,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__010.jpg,006,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__011.jpg,006,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__012.jpg,007,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__013.jpg,007,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__014.jpg,008,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__015.jpg,008,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__016.jpg,009,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__017.jpg,009,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__018.jpg,010,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__019.jpg,010,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__020.jpg,011,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__021.jpg,011,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__022.jpg,012,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__023.jpg,012,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__024.jpg,013,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__025.jpg,013,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__026.jpg,014,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__027.jpg,014,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__028.jpg,015,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__029.jpg,015,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__030.jpg,016,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__031.jpg,016,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__032.jpg,017,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__033.jpg,017,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__034.jpg,018,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__035.jpg,018,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__036.jpg,019,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__037.jpg,019,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__038.jpg,020,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__039.jpg,020,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__040.jpg,021,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__041.jpg,021,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__042.jpg,022,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__043.jpg,022,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__044.jpg,023,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__045.jpg,023,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__046.jpg,024,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__047.jpg,024,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__048.jpg,025,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__049.jpg,025,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__050.jpg,026,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__051.jpg,026,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__052.jpg,027,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__053.jpg,027,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__054.jpg,028,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__055.jpg,028,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__056.jpg,029,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__057.jpg,029,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__058.jpg,030,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__059.jpg,030,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__060.jpg,031,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__061.jpg,031,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__062.jpg,032,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__063.jpg,032,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__064.jpg,033,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__065.jpg,033,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__066.jpg,034,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__067.jpg,034,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__068.jpg,035,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__069.jpg,035,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__070.jpg,036,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__071.jpg,036,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__072.jpg,037,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__073.jpg,037,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__074.jpg,038,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__075.jpg,038,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__076.jpg,039,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__077.jpg,039,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__078.jpg,040,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__079.jpg,040,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__080.jpg,041,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__081.jpg,041,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__082.jpg,042,r,A,0,spl2018scribes-xml/verse-interp
KB129A10__083.jpg,042,v,A,0,spl2018scribes-xml/verse-interp
KB129A10__084.jpg,043,r,A,0,spl2018scribes-xml/verse-interp
